,Training Loss,Validation Loss,Micro F1,Macro F1,Class F1,epochs_since_improvement,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,best_epoch/Training Loss,best_epoch/Validation Loss,best_epoch/Micro F1,best_epoch/Macro F1,best_epoch/Class F1,config/num_epochs,config/batch_size,config/train_paths,config/val_paths,config/transforms/mean,config/transforms/std,config/lr,config/weight_decay,config/optimizer,config/Model,config/parameters/num_heads,config/parameters/num_layers,config/parameters/embed_dim,config/device,config/seed
0,2.69673671831554,0.4734794771640492,0.9005034565925598,0.8991290926933289,"[0.9080278873443604, 0.9120078682899475, 0.9031962752342224, 0.886817216873169, 0.8855960369110107]",0,1753052882,checkpoint_000000,True,False,1,4f1313ae,2025-07-21_01-08-02,553.1050741672516,553.1050741672516,3818602,birget.uib.no,129.177.13.75,553.1050741672516,1,2.69673671831554,0.4734794771640492,0.9005034565925598,0.8991290926933289,"[0.9080278873443604, 0.9120078682899475, 0.9031962752342224, 0.886817216873169, 0.8855960369110107]",100,128,['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_train.pt'],['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_validation.pt'],tensor([0.0720]),tensor([0.1629]),0.00386710393750411,3.8773983878532834e-05,<class 'torch.optim.adamw.AdamW'>,<class 'models.ConvolutionalTransformer'>,6,4,144,cuda:0,1752924888
1,2.155100388092231,0.4735081808819635,0.9068396687507629,0.9060063362121582,"[0.9132484197616577, 0.9100554585456848, 0.9136704206466675, 0.9006824493408203, 0.8923750519752502]",1,1753053367,checkpoint_000001,True,False,2,4f1313ae,2025-07-21_01-16-07,484.7558310031891,1037.8609051704407,3818602,birget.uib.no,129.177.13.75,1037.8609051704407,2,2.155100388092231,0.4735081808819635,0.9068396687507629,0.9060063362121582,"[0.9132484197616577, 0.9100554585456848, 0.9136704206466675, 0.9006824493408203, 0.8923750519752502]",100,128,['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_train.pt'],['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_validation.pt'],tensor([0.0720]),tensor([0.1629]),0.00386710393750411,3.8773983878532834e-05,<class 'torch.optim.adamw.AdamW'>,<class 'models.ConvolutionalTransformer'>,6,4,144,cuda:0,1752924888
2,1.9573547579965538,0.4867672550585843,0.9037148356437683,0.9060649871826172,"[0.908092737197876, 0.9086668491363525, 0.9177312850952148, 0.8910892009735107, 0.9047451019287109]",2,1753053852,,,False,3,4f1313ae,2025-07-21_01-24-12,484.5985794067383,1522.459484577179,3818602,birget.uib.no,129.177.13.75,1522.459484577179,3,2.155100388092231,0.4735081808819635,0.9068396687507629,0.9060063362121582,"[0.9132484197616577, 0.9100554585456848, 0.9136704206466675, 0.9006824493408203, 0.8923750519752502]",100,128,['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_train.pt'],['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_validation.pt'],tensor([0.0720]),tensor([0.1629]),0.00386710393750411,3.8773983878532834e-05,<class 'torch.optim.adamw.AdamW'>,<class 'models.ConvolutionalTransformer'>,6,4,144,cuda:0,1752924888
3,1.851475212690674,0.498363760937708,0.9174092411994934,0.9177581071853638,"[0.9168651700019836, 0.9206702709197998, 0.9372976422309875, 0.9121947884559631, 0.9017626643180847]",3,1753054335,checkpoint_000002,True,False,4,4f1313ae,2025-07-21_01-32-15,483.0910749435425,2005.5505595207214,3818602,birget.uib.no,129.177.13.75,2005.5505595207214,4,1.851475212690674,0.498363760937708,0.9174092411994934,0.9177581071853638,"[0.9168651700019836, 0.9206702709197998, 0.9372976422309875, 0.9121947884559631, 0.9017626643180847]",100,128,['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_train.pt'],['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_validation.pt'],tensor([0.0720]),tensor([0.1629]),0.00386710393750411,3.8773983878532834e-05,<class 'torch.optim.adamw.AdamW'>,<class 'models.ConvolutionalTransformer'>,6,4,144,cuda:0,1752924888
4,1.7877824538884994,0.5062901866682432,0.9168102145195007,0.9209901690483093,"[0.9178853631019592, 0.9168827533721924, 0.9337729215621948, 0.907292902469635, 0.92911696434021]",4,1753054820,,,False,5,4f1313ae,2025-07-21_01-40-20,485.5677869319916,2491.118346452713,3818602,birget.uib.no,129.177.13.75,2491.118346452713,5,1.851475212690674,0.498363760937708,0.9174092411994934,0.9177581071853638,"[0.9168651700019836, 0.9206702709197998, 0.9372976422309875, 0.9121947884559631, 0.9017626643180847]",100,128,['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_train.pt'],['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_validation.pt'],tensor([0.0720]),tensor([0.1629]),0.00386710393750411,3.8773983878532834e-05,<class 'torch.optim.adamw.AdamW'>,<class 'models.ConvolutionalTransformer'>,6,4,144,cuda:0,1752924888
5,1.7394257973006324,0.5127732204682451,0.906201958656311,0.9077049493789673,"[0.8989003300666809, 0.9124394059181213, 0.9105279445648193, 0.900746762752533, 0.9159101843833923]",5,1753055305,,,False,6,4f1313ae,2025-07-21_01-48-25,484.98095750808716,2976.0993039608,3818602,birget.uib.no,129.177.13.75,2976.0993039608,6,1.851475212690674,0.498363760937708,0.9174092411994934,0.9177581071853638,"[0.9168651700019836, 0.9206702709197998, 0.9372976422309875, 0.9121947884559631, 0.9017626643180847]",100,128,['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_train.pt'],['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_validation.pt'],tensor([0.0720]),tensor([0.1629]),0.00386710393750411,3.8773983878532834e-05,<class 'torch.optim.adamw.AdamW'>,<class 'models.ConvolutionalTransformer'>,6,4,144,cuda:0,1752924888
6,1.7052380644437735,0.5084155881897732,0.9118342399597168,0.9144523739814758,"[0.9043723344802856, 0.9205557107925415, 0.9258020520210266, 0.9010302424430847, 0.9205013513565063]",6,1753055791,,,False,7,4f1313ae,2025-07-21_01-56-31,486.0391049385071,3462.1384088993073,3818602,birget.uib.no,129.177.13.75,3462.1384088993073,7,1.851475212690674,0.498363760937708,0.9174092411994934,0.9177581071853638,"[0.9168651700019836, 0.9206702709197998, 0.9372976422309875, 0.9121947884559631, 0.9017626643180847]",100,128,['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_train.pt'],['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_validation.pt'],tensor([0.0720]),tensor([0.1629]),0.00386710393750411,3.8773983878532834e-05,<class 'torch.optim.adamw.AdamW'>,<class 'models.ConvolutionalTransformer'>,6,4,144,cuda:0,1752924888
7,1.5743568748024004,0.5355929836284282,0.9259018898010254,0.9287419319152832,"[0.9254776835441589, 0.92621910572052, 0.9440625905990601, 0.9191708564758301, 0.9287794232368469]",7,1753056276,checkpoint_000003,True,False,8,4f1313ae,2025-07-21_02-04-36,484.62166810035706,3946.7600769996643,3818602,birget.uib.no,129.177.13.75,3946.7600769996643,8,1.5743568748024004,0.5355929836284282,0.9259018898010254,0.9287419319152832,"[0.9254776835441589, 0.92621910572052, 0.9440625905990601, 0.9191708564758301, 0.9287794232368469]",100,128,['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_train.pt'],['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_validation.pt'],tensor([0.0720]),tensor([0.1629]),0.00386710393750411,3.8773983878532834e-05,<class 'torch.optim.adamw.AdamW'>,<class 'models.ConvolutionalTransformer'>,6,4,144,cuda:0,1752924888
8,1.547095430254842,0.5392096496983708,0.9248613119125366,0.9274835586547852,"[0.9250134825706482, 0.9245960712432861, 0.9407036304473877, 0.9189977049827576, 0.9281070232391357]",8,1753056762,,,False,9,4f1313ae,2025-07-21_02-12-42,486.0935049057007,4432.853581905365,3818602,birget.uib.no,129.177.13.75,4432.853581905365,9,1.5743568748024004,0.5355929836284282,0.9259018898010254,0.9287419319152832,"[0.9254776835441589, 0.92621910572052, 0.9440625905990601, 0.9191708564758301, 0.9287794232368469]",100,128,['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_train.pt'],['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_validation.pt'],tensor([0.0720]),tensor([0.1629]),0.00386710393750411,3.8773983878532834e-05,<class 'torch.optim.adamw.AdamW'>,<class 'models.ConvolutionalTransformer'>,6,4,144,cuda:0,1752924888
9,1.5319412374176562,0.5302615282763499,0.9255717992782593,0.928310215473175,"[0.9250656366348267, 0.92546546459198, 0.9433492422103882, 0.9195635318756104, 0.928107500076294]",9,1753057246,,,False,10,4f1313ae,2025-07-21_02-20-46,483.7372250556946,4916.59080696106,3818602,birget.uib.no,129.177.13.75,4916.59080696106,10,1.5743568748024004,0.5355929836284282,0.9259018898010254,0.9287419319152832,"[0.9254776835441589, 0.92621910572052, 0.9440625905990601, 0.9191708564758301, 0.9287794232368469]",100,128,['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_train.pt'],['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_validation.pt'],tensor([0.0720]),tensor([0.1629]),0.00386710393750411,3.8773983878532834e-05,<class 'torch.optim.adamw.AdamW'>,<class 'models.ConvolutionalTransformer'>,6,4,144,cuda:0,1752924888
10,1.5209700359823954,0.5443993395613146,0.9268283247947693,0.9296717643737793,"[0.92698073387146, 0.9263290166854858, 0.9437023997306824, 0.9207692742347717, 0.9305772185325623]",10,1753057730,checkpoint_000004,True,False,11,4f1313ae,2025-07-21_02-28-50,484.33515787124634,5400.925964832306,3818602,birget.uib.no,129.177.13.75,5400.925964832306,11,1.5209700359823954,0.5443993395613146,0.9268283247947693,0.9296717643737793,"[0.92698073387146, 0.9263290166854858, 0.9437023997306824, 0.9207692742347717, 0.9305772185325623]",100,128,['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_train.pt'],['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_validation.pt'],tensor([0.0720]),tensor([0.1629]),0.00386710393750411,3.8773983878532834e-05,<class 'torch.optim.adamw.AdamW'>,<class 'models.ConvolutionalTransformer'>,6,4,144,cuda:0,1752924888
11,1.5109677652063196,0.544736213154263,0.9229045510292053,0.9256216287612915,"[0.9227288961410522, 0.9223954081535339, 0.9364650249481201, 0.9174982905387878, 0.9290204644203186]",11,1753058217,,,False,12,4f1313ae,2025-07-21_02-36-57,487.19976234436035,5888.125727176666,3818602,birget.uib.no,129.177.13.75,5888.125727176666,12,1.5209700359823954,0.5443993395613146,0.9268283247947693,0.9296717643737793,"[0.92698073387146, 0.9263290166854858, 0.9437023997306824, 0.9207692742347717, 0.9305772185325623]",100,128,['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_train.pt'],['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_validation.pt'],tensor([0.0720]),tensor([0.1629]),0.00386710393750411,3.8773983878532834e-05,<class 'torch.optim.adamw.AdamW'>,<class 'models.ConvolutionalTransformer'>,6,4,144,cuda:0,1752924888
12,1.5035654695935388,0.555889973883789,0.9235048294067383,0.9275703430175781,"[0.9224643707275391, 0.921040415763855, 0.943027675151825, 0.9177426695823669, 0.9335767030715942]",12,1753058702,,,False,13,4f1313ae,2025-07-21_02-45-02,484.7062211036682,6372.8319482803345,3818602,birget.uib.no,129.177.13.75,6372.8319482803345,13,1.5209700359823954,0.5443993395613146,0.9268283247947693,0.9296717643737793,"[0.92698073387146, 0.9263290166854858, 0.9437023997306824, 0.9207692742347717, 0.9305772185325623]",100,128,['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_train.pt'],['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_validation.pt'],tensor([0.0720]),tensor([0.1629]),0.00386710393750411,3.8773983878532834e-05,<class 'torch.optim.adamw.AdamW'>,<class 'models.ConvolutionalTransformer'>,6,4,144,cuda:0,1752924888
13,1.478529838426149,0.5620656497872769,0.927986204624176,0.9310741424560547,"[0.9281972050666809, 0.925595223903656, 0.9439073801040649, 0.923442542552948, 0.9342283010482788]",13,1753059187,checkpoint_000005,True,False,14,4f1313ae,2025-07-21_02-53-07,484.4544954299927,6857.286443710327,3818602,birget.uib.no,129.177.13.75,6857.286443710327,14,1.478529838426149,0.5620656497872769,0.927986204624176,0.9310741424560547,"[0.9281972050666809, 0.925595223903656, 0.9439073801040649, 0.923442542552948, 0.9342283010482788]",100,128,['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_train.pt'],['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_validation.pt'],tensor([0.0720]),tensor([0.1629]),0.00386710393750411,3.8773983878532834e-05,<class 'torch.optim.adamw.AdamW'>,<class 'models.ConvolutionalTransformer'>,6,4,144,cuda:0,1752924888
14,1.4741979791785003,0.5673253215098566,0.9280802011489868,0.9308873414993286,"[0.927554190158844, 0.925632894039154, 0.9439737200737, 0.9244983792304993, 0.9327773451805115]",14,1753059672,checkpoint_000006,True,False,15,4f1313ae,2025-07-21_03-01-12,485.44260478019714,7342.729048490524,3818602,birget.uib.no,129.177.13.75,7342.729048490524,15,1.4741979791785003,0.5673253215098566,0.9280802011489868,0.9308873414993286,"[0.927554190158844, 0.925632894039154, 0.9439737200737, 0.9244983792304993, 0.9327773451805115]",100,128,['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_train.pt'],['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_validation.pt'],tensor([0.0720]),tensor([0.1629]),0.00386710393750411,3.8773983878532834e-05,<class 'torch.optim.adamw.AdamW'>,<class 'models.ConvolutionalTransformer'>,6,4,144,cuda:0,1752924888
15,1.4714154544173965,0.5695355463705629,0.9272597432136536,0.9303708076477051,"[0.9275541305541992, 0.9252515435218811, 0.9435173273086548, 0.9222263097763062, 0.9333047270774841]",15,1753060157,,,True,16,4f1313ae,2025-07-21_03-09-17,485.3567786216736,7828.085827112198,3818602,birget.uib.no,129.177.13.75,7828.085827112198,16,1.4741979791785003,0.5673253215098566,0.9280802011489868,0.9308873414993286,"[0.927554190158844, 0.925632894039154, 0.9439737200737, 0.9244983792304993, 0.9327773451805115]",100,128,['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_train.pt'],['/Home/siv32/rfo034/master-thesis/data/e-gmd-v1.0.0/egmd_validation.pt'],tensor([0.0720]),tensor([0.1629]),0.00386710393750411,3.8773983878532834e-05,<class 'torch.optim.adamw.AdamW'>,<class 'models.ConvolutionalTransformer'>,6,4,144,cuda:0,1752924888
